Название,Дата,Место,Жанр,Ссылка
Проверка материала,21 марта 4 и 18 апреля," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/proverka-materiala-2211753/
Таро Стендап. Сольный концерт Андрей Шумилов,31 марта в 19:00," Coin Hall",Юмор,https://www.afisha.ru/concert/taro-stendap-solniy-koncert-andriy-shumilov-2234676/
Ночной Stаnd Up,Март апрель," Stand Up Патрики",Юмор,https://www.afisha.ru/concert/nochnoy-stand-up-2214235/
Стас Старовойтов,30 марта в 19:00," ДК «Яуза»",Юмор,https://www.afisha.ru/concert/stas-starovoytov-2231030/
Secret Show,Март апрель," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/secret-show-2150681/
Альтернативная комедия,Март апрель," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/alternativnaya-komediya-2161858/
StandUp Рулетка,20 марта в 20:00," Standup Café",Юмор,https://www.afisha.ru/concert/standup-ruletka-2249702/
Burlesque & Comedy,31 марта и 28 апреля," Stand Up Патрики",Юмор,https://www.afisha.ru/concert/burlesque-comedy-2238154/
Глаз Народа,29 марта 12 и 26 апреля," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/glaz-naroda-2217395/
Стендап плей-офф,28 марта 11 и 25 апреля," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/stendap-pley-off-2232562/
Stand Up в Большом городе,Март апрель," Club №1",Юмор,https://www.afisha.ru/concert/stand-up-v-bolshom-gorode-2217325/
Stand Up концерты от timestandup,Март апрель," На 2 площадках",Юмор,https://www.afisha.ru/concert/stand-up-koncerty-ot-timestandup-2231668/
Stand Up Лучшие,23 и 30 марта," Standup Brothers",Юмор,https://www.afisha.ru/concert/stand-up-luchshie-2248842/
Леонид Кулаков. Большой сольный концерт,12 апреля в 20:00," Каро 11 Октябрь",Юмор,https://www.afisha.ru/concert/leonid-kulakov-bolshoy-solniy-koncert-2236682/
Stand Up на ночь глядя,22 и 29 марта," Standup Brothers",Юмор,https://www.afisha.ru/concert/stand-up-na-noch-glyadya-2234961/
Дима Гаврилов думает вживую,26 марта 9 и 23 апреля," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/dima-gavrilov-dumaet-vzhivuyu-2234960/
Stand Up | Стас Старовойтов,20 марта в 21:30," Standup Brothers",Юмор,https://www.afisha.ru/concert/stand-up-stas-starovoytov-2220069/
Только комики с ТВ,Март апрель," Бобры и утки",Юмор,https://www.afisha.ru/concert/tolko-komiki-s-tv-2234033/
Макс Евдокимов Сольный концерт,30 марта в 22:00," Coin Hall",Юмор,https://www.afisha.ru/concert/maks-evdokimov-solniy-koncert-2229346/
Проверочная проверка Эльдара и Лизы,31 марта 7 и 21 апреля," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/proverochnaya-proverka-eldara-i-lizy-2233625/
Стендап за 60 секунд,28 марта 11 и 25 апреля," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/stendap-za-60-sekund-2211754/
Женский Стендап-Бранч,30 и 31 марта," Bla Bla Bar",Юмор,https://www.afisha.ru/concert/zhenskiy-stendap-branch-2249359/
Сольный концерт. Павел Дедищев,22 марта в 22:00," Standup Café",Юмор,https://www.afisha.ru/concert/solniy-koncert-pavel-dedishchev-2249478/
Семейный Stand-up,31 марта в 21:00," Standup Brothers",Юмор,https://www.afisha.ru/concert/semeyniy-stand-up-2249820/
Маргарита Родина - Stand Up концерт,31 марта в 21:00," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/margarita-rodina-stand-up-koncert-2250020/
Право на ошибку: Роман Косицын,14 июня в 19:30," Театр музыки и шоу «III РИМ»",Юмор,https://www.afisha.ru/concert/pravo-na-oshibku-roman-kosicyn-2249303/
Валентин Сидоров. Stand up,28 марта в 20:00," Техникабезопасности",Юмор,https://www.afisha.ru/concert/valentin-sidorov-stand-up-2218861/
Petter Stand Up,18 19 и 20 марта," Petter",Юмор,https://www.afisha.ru/concert/petter-stand-up-2249653/
Офис,23 и 24 марта," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/ofis-2250012/
